,name,address,price,speciality,review,services,phone number,website,latitude,longitude
10,Yoshi,"4 avenue de la Madone, Monte-Carlo, 98000, France", 42 - 240 EUR , Cuisine japonaise ,"(Restaurant fermé temporairement en 2020 en raison de la crise sanitaire) Monte-Carlo, son casino, son prince, sa terre battue… et sa gastronomie. La seconde table du Métropole rend hommage à la cuisine nippone, avec des produits de premier choix et une technique solide. Bouillons parfumés, sushis et makis y sont traités avec Yoshi (""bonté""). Cette cuisine, plus fusion qu'authentiquement japonaise, a su s'adapter à une clientèle internationale. Elle n'en demeure pas moins précise, raffinée et affirmée, à l'image du ghindara no saiko yaki, un très beau filet de black cod, mariné au saké cuit au pot et enrobé dans une feuille de magnolia japonais, qui donne envie de faire un tour au pays du Soleil-Levant.","['Accès handicapés ', 'Restaurant non fumeur ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ', 'Carte de crédit Diners Club ']",,,43.7408177,7.4279751
11,Le Restaurant du Métropole,"4 avenue de la Madone, Monte-Carlo, 98000, France", 65 - 300 EUR , Cuisine moderne ,"Par où commencer ? Tout ici respire l'élégance et le style. À tout seigneur tout honneur, commençons par la précision des assiettes de Christophe Cussac, où se rencontrent des produits magnifiques sélectionnés auprès des meilleurs producteurs du monde entier. Parlons aussi de l'imposant chariot de desserts, et d'une carte des vins à vous donner le tournis – dont plusieurs grands vins en magnums... tout cela se savoure dans le cadre cossu et raffiné de l'hôtel Métropole, véritable joyau monégasque. N'hésitez pas à venir au déjeuner, le prix du menu est plutôt raisonnable. Service aimable et aux petits soins.","['Voiturier ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ', 'Carte de crédit Diners Club ']",,,43.7410100,7.4268500
12,Le Grill,"Place du Casino, Monte-Carlo, 98000, France", 68 - 210 EUR , Cuisine classique ,"Au huitième étage de l'Hôtel de Paris, sous un toit ouvrant, le Grill demeure plus que jamais un restaurant mythique avec une vue à couper le souffle ! Ici, on connaît la signification du travail précis sur les beaux produits enfantés par une Côte d'Azur, toujours aussi munificente. Dans l'assiette, la cuisson au charbon de bois est de mise, et millimétrée : agnolotti piemontesi al plin, turbot côtier en tronçon, carré d'agneau à la sarriette, poussin fermier au doux parfum de Provence... Ici, la tradition du soufflé est défendue avec panache à l'image de ce soufflé chaud framboise et pistache qui est une pure merveille. Une cuisine qui a du goût, et sur laquelle plane l'ombre talentueuse de Franck Cerutti, fidèle d'Alain Ducasse.","['Accès handicapés ', 'Vue ', 'Voiturier ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Menu végétarien ', 'Salon particulier ', 'Ascenseur ', 'Garage ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']", +377 98 06 88 88, www.hoteldeparismontecarlo.com,43.7393665,7.4271000
13,Song Qi,"7 avenue Princesse-Grace, Monte-Carlo, 98000, France", 29 - 120 EUR ," Cuisine asiatique, Cuisine chinoise ","Face au Grimaldi Forum, ce restaurant chinois, chic et gastronomique, joue la carte des matériaux nobles et de la sérénité. On s'installe pour y déguster une carte alléchante qui offre un vaste panorama de la cuisine chinoise : soupe pékinoise au poulet fumé, crevettes croustillantes du dragon à la moutarde chinoise, classiques dim sum. Réservez !","['Accès handicapés ', 'Voiturier ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ']", +377 99 99 33 33, www.song-qi.mc,43.7427400,7.4305000
14,La Croix Blanche,"2 avenue de la Loire, Veuves, 41150, France", 27 - 50 EUR ," Cuisine moderne, Cuisine traditionnelle ","On ne porte pas sa croix dans cet ancien relais de poste ! On y profite de la cuisine actuelle du chef Jean-François Beauduin, formé dans les tables étoilées. La saison et les produits locaux sont de rigueur. À noter, quelques préparations plus traditionnelles comme la beuchelle tourangelle. Service charmant assuré par l’épouse du chef dans un cadre rustique et coquet. Terrasse agréable à l’ombre des mûriers.","['Accès handicapés ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Parc ou jardin ', 'Parking ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ']",,,47.4715312,1.1254660
15,Auberge de l'Abbaye,"2 rue de la Libération, Beaumont-en-Auge, 14950, France", 28 - 59 EUR ," Cuisine traditionnelle, Cuisine moderne ","Cette auberge tient toutes ses promesses. Des produits du terroir bien travaillés, des dressages soignés, de la générosité et un goût pour les herbes fraîches, le tout évoluant au fil des saisons... sans oublier l'intérieur rustique, qui ne manque pas de cachet. Un vrai plaisir.","['Restaurant non fumeur ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']",,,49.2784849,0.1097106
16,Le Rousseau,"3 rue Jean-Jacques-Rousseau, Grenoble, 38000, France", 26 - 49 EUR ," Cuisine créative, Cuisine du marché ","Le Rousseau, c'est un jeune chef, Élie Michel-Villaz, qui a fait de la simplicité son mantra et sa principale qualité. La partition est fraîche, travaillée avec beaucoup de soin, mariée à des flacons choisis avec amour (250 références, beaucoup de nature et biodynamie)... et servie en toute convivialité. Une affaire qui roule.","['Restaurant non fumeur ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']",,,45.1910583,5.7303723
17,La Treille Muscate,"Place de l'Église, Moustiers-Sainte-Marie, 04360, France", 29 - 52 EUR , Cuisine provençale ,"Au pied des falaises, voilà un sympathique bistrot provençal, où l'on se régale d'une cuisine à l’accent du Sud, à l'instar de la spécialité maison, les ""pieds et paquets comme les faisait Mémé Antoinette"". Aux beaux jours, on profite de la terrasse, à l’ombre d'un platane qui fêtera bientôt ses 200 ans.","['Restaurant non fumeur ', 'Repas en terrasse ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ']",,,43.8472300,6.2215500
18,Le Moulin de Poustagnacq,"Chemin de Poustagnacq, Saint-Paul-lès-Dax, 40990, France", 35 - 95 EUR , Cuisine moderne ,"Envie de manger au bord de l'eau ? Dans ce cas, faites un tour dans cet ancien moulin ! Le chef travaille les produits frais et livre une cuisine traditionnelle teintée d'un joli accent régional. Aux beaux jours, installez-vous sur la terrasse face au lac. Ambiance bucolique garantie.","['Accès handicapés ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Parking ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ', 'Carte de crédit Diners Club ']",,,43.7355267,-1.0681712
19,Dupin,"11 rue Dupin, Paris, 75006, France", 42 - 66 EUR , Cuisine moderne ,"L'Épi Dupin est devenu Dupin, François Pasteau a passé la main à Nathan Helo (venu de chez Rostang) mais la démarche écologique et locavore de la maison demeure inchangée : achat de fruits et légumes en Île-de-France, traitement des déchets organiques, eau filtrée sur place, etc. Un respect de la nature et du ""bien-vivre"" que l'on retrouve dans ses assiettes.","['Restaurant non fumeur ', 'Repas en terrasse ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']",,,48.8499000,2.3253600
20,Relais Mont le Viaur,"La Croix-Grande, Saint-André-de-Najac, 12270, France", 15 - 65 EUR , Cuisine traditionnelle ,"Le chef de cette jolie ferme régionale, chaleureuse et conviviale, a été auparavant sommelier dans plusieurs tables étoilées. Une chose le guide : la passion ! Il réalise ici une savoureuse cuisine du terroir : terrine de jarret de porc, foie gras maison, veau du Ségala... Pour l'étape, des chambres agréables.","['Accès handicapés ', 'Avec chambre ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Menu végétarien ', 'Parking ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']",,,44.1931480,2.0378185
21,La Goutte Noire,"21 rue du Château, Châteaumeillant, 18370, France",,,"Du nom du ruisseau qui coule dans le village, cette table ne manque pas d'attraits : une grande véranda très lumineuse, une cuisine qui explore le terroir avec goût et générosité (bons vins et fromages régionaux) et un accueil délicat.","['Accès handicapés ', 'Avec chambre ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Parking ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ']",,,46.5615556,2.1943346
22,Les 3 Faisans,"100 rue des Auberges, Saint-Savin, 38300, France", 28 - 68 EUR , Cuisine moderne ,"Madame en cuisine, Monsieur en pâtisserie : après un passage dans de belles maisons, ce couple passionné a posé ses valises dans ce restaurant, situé aux pieds des vignes. On sert ici une belle cuisine de saison, savoureuse et mijotée - selle d’agneau cuite à basse température, déclinaison de choux et jus court ; choux gourmands, banane compotée et crémeux chocolat 64 %, glace à la banane rôtie. A déguster à l'été dans l'une des deux salles agréables ou sur la terrasse ombragée. Après le repas, une promenade digestive sur les coteaux aura fière allure, en chantonnant peut-être une chanson de Brel, ""et quand vers minuit passaient les notaires,qui sortaient de l'hôtel des Trois Faisans...""","['Restaurant non fumeur ', 'Repas en terrasse ', 'Menu végétarien ', 'Parking ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ']",,,45.6278371,5.3093870
23,Hiély-Lucullus,"5 rue de la République, Avignon, 84000, France", 55 - 95 EUR , Cuisine moderne ,"""Pérouvence"" : c'est ainsi que le chef Gérald Azoulay, natif d'Avignon, nomme sa cuisine, étonnante union culinaire entre le Pérou (où est née Patricia, son épouse) et la Provence. Dans l'assiette, quand la pêche du jour rencontre les artichauts poivrade et la sauce parihuela ou que l'agneau de Provence se marie avec la sauce chimichurri, le métissage est savoureux. A déguster dans une salle à manger décorée façon Belle Époque. Jolie carte de vins de la vallée du Rhône.","['Restaurant non fumeur ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']",,,43.9484867,4.8059356
24,La Gourmandière,"19 avenue de Blagny, Carignan, 08110, France", 38 - 110 EUR , Cuisine traditionnelle ,"Cette maison bourgeoise de 1890 choie ses convives : cuisine gourmande et généreuse, superbe carte des vins, et espace lounge. La cheffe est épaulée par son fils Maxence, qui réalise de savoureuses pâtisseries. Ris de veau et foie gras sont les spécialités maison.","['Accès handicapés ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Menu végétarien ', 'Parc ou jardin ', 'Parking ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ']", +33 3 24 22 20 99," Dates de fermetureFermé : 18 janvier-2 février, 21 juin-1er juillet, 27 septembre-7 octobre, lundi, midi : mardi, soir : dimanche",49.6296672,5.1696914
25,Au Coin du Bois,"Rue Sous-le-Rang, Mancenans-Lizerne, 25120, France", 18 - 64 EUR , Cuisine traditionnelle ,"Une maison à la fois simple et soignée, entourée de sapins et avec une agréable terrasse. Le chef signe une cuisine soignée, réalisée avec de bons produits frais.","['Restaurant non fumeur ', 'Repas en terrasse ', 'Parc ou jardin ', 'Parking ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ']",,,47.2573771,6.7655518
26,Lerouge aux lèvres,"4 rue des Cloutiers, La Rochelle, 17000, France", 21 - 45 EUR , Cuisine traditionnelle ,"Cette sympathique cave à vins très prisée par les habitués abrite un restaurant de qualité, tenu par Stéphane Lerouge... sommelier expérimenté, passé par chez Hélène Darroze. Les produits, rondement mitonnés, sont choisis avec soin. Dans l'assiette se lit l'empreinte de la tradition, revisitée en douceur par un jeune chef compétent. Côté vin, on est très nature, bio ou biodynamie ; pas de carte, en revanche : le patron invite les clients à parcourir les étagères de la cave.","['Accès handicapés ', 'Restaurant non fumeur ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']",,,46.1621191,-1.1489751
27,Matsuhisa,"37 avenue Hoche, Paris, 75008, France",,,"Le chef Nobu Matsuhisa est connu pour être l'inventeur du style péruvo-japonais. Il confie ici au maître sushi Hideki Endo le soin de sublimer les produits japonais – mais aussi français –, comme ces huîtres croustillantes au caviar, wasabi et sauce aïoli. Tout cela dans l'écrin somptueux du Royal Monceau.","['Accès handicapés ', 'Voiturier ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']",,,48.8757000,2.3003900
28,Bellevue,"526 digue Jules-Noiret, Le Crotoy, 80550, France", 35 - 39 EUR ," Poissons et fruits de mer, Cuisine traditionnelle ","La table ne pouvait pas mieux porter son nom : la vue sur la baie de Somme est tout simplement superbe. En accord avec cette situation, le chef met en avant les beaux poissons et fruits de mer des environs (moules et coques de la baie, crevettes grises, mulet, etc.). Souvenir d'un tartare de cabillaud, pesto basilic et de gambas rôtis, bouillon de crevettes grises. Les amateurs seront ravis.","['Accès handicapés ', 'Vue ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ']",,,50.2212855,1.6151206
29,Le Georges,"22 place des Épars, Chartres, 28000, France",,,"Le Grand Monarque, qui abrite le Georges, traverse les siècles avec constance – l’hôtel était déjà cité dans le Guide Michelin 1900. Cette maison au décor élégant occupe une place idéale entre Paris et la Loire, au carrefour des régions de l’Ouest. Formé à Narbonne mais aussi chez Joël Robuchon et Éric Frechon, le jeune chef Thomas Parnaud insuffle un nouvel élan à cette table vénérable. Grand lecteur d’Escoffier, il s’emploie notamment à revisiter les préparations ""à la Chartres"" où l’estragon est roi, comme dans sa recette d’œuf fermier cuit mollet et glacé d’un jus de veau. On ne manquera pas non plus son soufflé au Grand Marnier, classique d’entre les classiques parfaitement exécuté : de l’entrée au dessert, il fait toujours bon relâcher sa monture chez Georges…","['Accès handicapés ', 'Restaurant non fumeur ', 'Menu végétarien ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ']",,,48.4440945,1.4833258
30,La Poule au Pot,"9 rue Vauvilliers, Paris, 75001, France", 44 - 116 EUR , Cuisine traditionnelle ,"Service sur plateau d'argent, décor suranné de bistrot, comptoir en zinc : on se croirait presque dans un décor à la Audiard. Y compris dans l'assiette ! Jean-François Piège fait confiance à son fidèle chef exécutif, Shinya Usami, pour réhabiliter les grands classiques du répertoire culinaire français. Le talent de ce dernier est indéniable, et la partition qu'il compose ne manque pas d'arguments : il fait dans la générosité et les saveurs, à l'ancienne, ne rechignant pas au beurre et à la crème, aux os et aux arêtes, bref, il régale d'une cuisine qui n'a pas froid aux yeux. Galantine de canard et gelée corsée, merlan frit Colbert et sa sauce tartare, plateau de tartes du jour... Plaisir (coupable) garanti.","['Restaurant non fumeur ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']", +33 1 42 36 32 96, www.jeanfrancoispiege.com,48.8616966,2.3432641
31,La Brucelière,"Place de la Capelle, Issigeac, 24560, France", 32 - 36 EUR , Cuisine moderne ,"Avec ses murs en moellons et son mobilier en bois, sa vaisselle et sa poterie achetées au village, cette authentique auberge de campagne ne manque pas de charme. Le chef met un point d'honneur à cuisiner des produits frais à travers des recettes simples et bonnes. Jolie terrasse sur le jardin, à l'arrière.","['Avec chambre ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Parc ou jardin ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ']",,,44.7300085,0.6091556
32,La Diligence,"13 rue du Bourg, La Ferté-Saint-Cyr, 41220, France", 24 - 55 EUR , Cuisine moderne ,"Cet ancien relais de poste joliment restauré propose de goûteuses préparations, mettant en valeur le terroir local, et dispose de chambres confortables et d’une piscine d’été appréciée. L'accueil est particulièrement charmant. Une adresse aussi sympathique que coquette.","['Accès handicapés ', 'Avec chambre ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Cartes de crédit acceptées ', 'Carte de crédit Visa ', 'Mastercard ']",,,47.6550976,1.6738848
33,La Table du Sommelier,"20 rue Porta, Albi, 81000, France", 18 - 53 EUR , Cuisine moderne ,"Père et fils, sommeliers de formation, travaillent en duo dans ce sympathique bistrot contemporain. Le résultat ? Une cuisine savoureuse, qui revisite habilement le terroir, un imposant choix de vins (500 références), et, l'été, deux terrasses au choix : sous la pergola ou à ciel ouvert... Une adresse hautement recommandable.","['Accès handicapés ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Menu végétarien ', 'Salon particulier ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ']",,,43.9347151,2.1458041
34,La Table d'Annabelle,"1 allée du Petit-Bois, Dizy, 51530, France", 38 - 104 EUR , Cuisine moderne ,"Au sein de l'hôtel Les Grains d'Argent, une cuisine dans l'air du temps ; telle est la combinaison gagnante de ce restaurant ! Une cuisine franche et enthousiaste, accompagnée à merveille par le champagne local. Ambiance conviviale et style bistronomique à la Cuisine de Clément. Chambres agréables, dont certaines donnent sur le vignoble.","['Accès handicapés ', 'Avec chambre ', 'Restaurant non fumeur ', 'Menu végétarien ', 'Parking ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ']",,,49.0670401,3.9601064
35,Pages,"4 rue Auguste-Vacquerie, Paris, 75016, France", 65 - 200 EUR , Cuisine créative ,"La passion des chefs japonais pour la gastronomie française s’illustre une nouvelle fois à travers ce restaurant surprenant. Passé par de belles maisons, Ryuji Teshima, dit Teshi, propose une version contemporaine et très personnelle de la cuisine de l'Hexagone. Autour de menus ""surprise"", il imagine des mélanges de saveurs qui peuvent paraître improbables sur le papier, mais qui fonctionnent dans l'assiette. On profite de son travail dans un décor épuré, et les cuisines visibles depuis la salle permettront aux curieux de le voir s'affairer aux fourneaux… Un ensemble résolument à la page.","['Restaurant non fumeur ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']",,,48.8711892,2.2969470
36,Le Beaulieu,"34 bis place de la République, Le Mans, 72000, France", 26 - 39 EUR , Cuisine moderne ,"Des produits de bonne qualité, des jus savamment réduits, un nombre limité d'ingrédients... que le chef décline au gré de vos envies, en deux, trois, ou quatre plats. Le tout dans un intérieur élégant et feutré.","['Accès handicapés ', 'Restaurant non fumeur ', 'Salon particulier ', 'Ascenseur ', 'Air conditionné ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']",,,48.0044969,0.1959122
37,Au Bouchon Breton,"20 rue du Maréchal-Leclerc, Dinard, 35800, France", 25 - 39 EUR , Cuisine traditionnelle ,"Charline et Jérôme ont métamorphosé cette ancienne crêperie du centre-ville de Dinard, et le résultat est ce Bouchon Breton où ils célèbrent la tradition bistrotière de belle manière. C'est savoureux, mitonné avec soin, et ils nous offrent même, il faut le noter, d'excellents desserts... Un vrai bon plan.","['Restaurant non fumeur ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ']",,,48.6336711,-2.0537376
38,Château de la Caze,"Route des Gorges-du-Tarn, La Malène, 48210, France", 25 - 63 EUR , Cuisine moderne ,"On s'attable dans l'élégante salle à manger du château – parquets, cheminée, fauteuils à hauts dossiers – pour déguster un filet de bœuf d'Aubrac, un foie gras poêlé et framboise, crème de cèpes, un carré d'agneau, figues et Panais ... La carte est appétissante et les saveurs bien présentes.","['Vue ', 'Avec chambre ', 'Restaurant non fumeur ', 'Repas en terrasse ', 'Menu végétarien ', 'Salon particulier ', 'Parc ou jardin ', 'Parking ', 'Cartes de crédit acceptées ', 'Mastercard ', 'Carte de crédit Visa ', 'Carte de crédit American Express ']",,,44.3344059,3.3565090
